task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
288	7d/fe9a6d	53173335	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_F21)	COMPLETED	0	2026-06-21 18:33:58.808	17m 22s	16m 16s	1062.4%	16.7 GB	17.7 GB	5.4 GB	15.9 MB
293	af/be5f97	53173338	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_N19)	COMPLETED	0	2026-06-21 18:33:59.003	17m 22s	16m 18s	1056.9%	15.4 GB	16.5 GB	4.7 GB	12.9 MB
226	b6/9b9594	53173229	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C19)	COMPLETED	0	2026-06-21 18:33:52.207	17m 44s	16m 38s	1063.3%	15.7 GB	16.4 GB	4.6 GB	12.4 MB
298	27/58b61e	53173344	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_F24)	COMPLETED	0	2026-06-21 18:33:59.303	18m 52s	17m 44s	1075.5%	16.3 GB	17.2 GB	5.5 GB	15.1 MB
239	8b/70648c	53173255	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C20)	COMPLETED	0	2026-06-21 18:33:53.503	19m 8s	18m 4s	1071.1%	15.8 GB	16.9 GB	4.7 GB	12.5 MB
290	93/6e6c87	53173330	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_E20)	COMPLETED	0	2026-06-21 18:33:58.502	19m 18s	18m 13s	1078.8%	16.3 GB	17.2 GB	5 GB	8.6 MB
305	e3/4468d7	53173360	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_E2)	COMPLETED	0	2026-06-21 18:34:00.103	20m 1s	18m 55s	1092.7%	16.3 GB	17.1 GB	6.1 GB	12.7 MB
227	03/2c7d25	53173235	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D19)	COMPLETED	0	2026-06-21 18:33:52.503	20m 54s	19m 45s	1043.2%	15.7 GB	16.5 GB	4.6 GB	12.8 MB
211	9a/f0affc	53173205	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_M20)	COMPLETED	0	2026-06-21 18:33:51.011	21m 50s	20m 47s	1071.8%	15.5 GB	16.5 GB	4.5 GB	14 MB
306	22/037195	53173362	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_E4)	COMPLETED	0	2026-06-21 18:34:00.203	21m 51s	20m 44s	1099.7%	16.9 GB	17.8 GB	6.8 GB	14.1 MB
